Name,OID__c,Status__c,SDID__c,SD_Name__c,Dummy
Touch Feet,O-006512,Active,SD-000352,Rec. Instr.,
touch feet,O-006511,Active,SD-000307,Planned model,
Touch Eyes,O-006510,Active,SD-000352,Rec. Instr.,
Touch eyes,O-006509,Active,SD-000462,Third person planned model,
touch eyes,O-006508,Active,SD-000002,1 step,
Touch Ears,O-006507,Active,SD-000352,Rec. Instr.,
Touch Ears,O-006506,Active,SD-000307,Planned model,
touch ears,O-006505,Active,SD-000002,1 step,
Touch door,O-006504,Active,SD-000352,Rec. Instr.,
touch chin,O-006503,Active,SD-000002,1 step,
touch cheeks,O-006502,Active,SD-000002,1 step,
Touch Cheeks,O-006501,Active,SD-000352,Rec. Instr.,
Touch cheeks,O-006500,Active,SD-000462,Third person planned model,
touch bottom lip,O-006499,Active,SD-000222,Imitation,
Touch (item) by seconds,O-006498,Active,SD-000474,Tolerance to Item,
touch (dangerous item),O-006497,Active,SD-000511,Why don't/because,
touch,O-006496,Active,SD-000221,Imitation,
top,O-006495,Active,SD-000392,Receptive,
top,O-006494,Active,SD-000154,Expressive,
top,O-006493,Active,SD-000266,Matching,
Toothbrush-Toothpaste,O-006492,Active,SD-000123,Expressive,
Toothbrush-Toothpaste,O-006491,Active,SD-000360,Receptive,
Toothbrush w/o paste,O-006490,Active,SD-000477,Toothbrush to lips,
Toothbrush,O-006489,Active,SD-000210,Identical,
Toothbrush,O-006488,Active,SD-000135,Expressive,
Too young,O-006487,Active,SD-000513,Why/because,
Too young,O-006486,Active,SD-000351,Rec. instr.,
Too high,O-006485,Active,SD-000513,Why/because,
Too high,O-006484,Active,SD-000351,Rec. instr.,
Too heavy,O-006483,Active,SD-000513,Why/because,
Too heavy,O-006482,Active,SD-000351,Rec. instr.,
Too big,O-006481,Active,SD-000513,Why/because,
Too big,O-006480,Active,SD-000351,Rec. instr.,
tongue up and down,O-006479,Active,SD-000222,Imitation,
Tongue Up,O-006478,Active,SD-000222,Imitation,
Tongue to right,O-006477,Active,SD-000222,Imitation,
Tongue to left,O-006476,Active,SD-000222,Imitation,
tongue side to side,O-006475,Active,SD-000222,Imitation,
Tongue Out,O-006474,Active,SD-000222,Imitation,
Tongue In,O-006473,Active,SD-000222,Imitation,
Tongue Down,O-006472,Active,SD-000222,Imitation,
Tomorrow,O-006471,Active,SD-000132,Expressive,
Tomato,O-006470,Active,SD-000211,Identical,
Tomato,O-006469,Active,SD-000007,2D Receptive,
Tomato,O-006468,Active,SD-000135,Expressive,
Tolerance,O-006467,Active,SD-000465,Toileting,
Tolerance,O-006466,Active,SD-000416,Ride Bike,
Toilet room,O-006465,Active,SD-000469,Tolerance,
Toilet Paper,O-006464,Active,SD-000135,Expressive,
Toilet 2,O-006463,Active,SD-000139,Expressive,
Toilet 2,O-006462,Active,SD-000381,Receptive,
Toilet 1,O-006461,Active,SD-000139,Expressive,
Toilet 1,O-006460,Active,SD-000381,Receptive,
Toilet - pants on,O-006459,Active,SD-000469,Tolerance,
Toilet - no nappy,O-006458,Active,SD-000469,Tolerance,
Toilet - nappy on,O-006457,Active,SD-000469,Tolerance,
Toilet,O-006456,Active,SD-000007,2D Receptive,
toilet,O-006455,Active,SD-000514,Why/because,
Toilet,O-006454,Active,SD-000249,Location,
toilet,O-006453,Active,SD-000392,Receptive,
Toilet,O-006452,Active,SD-000051,Comm. opportunity,
Toilet,O-006451,Active,SD-000239,Item,
Toilet,O-006450,Active,SD-000379,Receptive,
toilet,O-006449,Active,SD-000154,Expressive,
toilet,O-006448,Active,SD-000266,Matching,
Toilet,O-006447,Active,SD-000056,Communication opportunity,
Toilet,O-006446,Active,SD-000106,Exposure,
Toilet,O-006445,Active,SD-000334,Q/A,
Toilet,O-006444,Active,SD-000135,Expressive,
Toes,O-006443,Active,SD-000362,Receptive,
Toes,O-006442,Active,SD-000124,Expressive,
Today,O-006441,Active,SD-000132,Expressive,
toast,O-006440,Active,SD-000392,Receptive,
toast,O-006439,Active,SD-000154,Expressive,
toast,O-006438,Active,SD-000266,Matching,
Toast,O-006437,Active,SD-000135,Expressive,
to lips,O-006436,Active,SD-000221,Imitation,
tō,O-006435,Active,SD-000065,CV - VI,
tŏ,O-006434,Active,SD-000065,CV - VI,
to,O-006433,Active,SD-000392,Receptive,
to,O-006432,Active,SD-000382,Receptive,
to,O-006431,Active,SD-000154,Expressive,
to,O-006430,Active,SD-000266,Matching,
to,O-006429,Active,SD-000140,Expressive,
to,O-006428,Active,SD-000260,Matching,
tissue,O-006427,Active,SD-000392,Receptive,
tissue,O-006426,Active,SD-000154,Expressive,
tissue,O-006425,Active,SD-000266,Matching,
tired,O-006424,Active,SD-000415,Reverse why/because,
Tiger,O-006423,Active,SD-000160,Expressive (Animal says...),
Tiger,O-006422,Active,SD-000403,Receptive Q/A,
Tiger,O-006421,Active,SD-000170,Expressive Q/A,
Tiger,O-006420,Active,SD-000170,Expressive Q/A,
Tieing shoes,O-006419,Active,SD-000431,Sequence,
Tieing shoes,O-006418,Active,SD-000148,Expressive,
Tie shoelaces,O-006417,Active,SD-000066,Daily living task,
Tickle,O-006416,Active,SD-000315,PLQ Mand,
tī,O-006415,Active,SD-000065,CV - VI,
tĭ,O-006414,Active,SD-000065,CV - VI,
Thursday,O-006413,Active,SD-000373,Receptive,
Thursday,O-006412,Active,SD-000132,Expressive,
Thumbs Up,O-006411,Active,SD-000002,1 step,
Thumbs Together,O-006410,Active,SD-000002,1 step,
throwing baby,O-006409,Active,SD-000151,Expressive,
throwing,O-006408,Active,SD-000322,Present,
Throwing,O-006407,Active,SD-000137,Expressive,
Throwing,O-006406,Active,SD-000378,Receptive,
Throwing,O-006405,Active,SD-000122,Expressive,
Throwing,O-006404,Active,SD-000035,Brainstorming,
Throwing,O-006403,Active,SD-000359,Receptive,
Throw in bucket,O-006402,Active,SD-000361,Receptive,
Throw in bucket,O-006401,Active,SD-000217,Imitation,
Throw Ball (to person),O-006400,Active,SD-000022,Activity,
Throw Ball (into bucket),O-006399,Active,SD-000022,Activity,
Throw ball (across midline),O-006398,Active,SD-000022,Activity,
Throw ball (2 hands),O-006397,Active,SD-000022,Activity,
Throw ball (1 hand),O-006396,Active,SD-000022,Activity,
Throw ball,O-006395,Active,SD-000356,Rec. play instr.,
Throw ball,O-006394,Active,SD-000308,Planned model w item,
Throw Ball,O-006393,Active,SD-000361,Receptive,
Throw and Catch Ball in Air,O-006392,Active,SD-000022,Activity,
throw,O-006391,Active,SD-000182,Future,
Throw,O-006390,Active,SD-000217,Imitation,
threw,O-006389,Active,SD-000299,Past,
Threw,O-006388,Active,SD-000088,Exp. past tense,
Three Step Chains,O-006387,Active,SD-000307,Planned model,
Three Step,O-006386,Active,SD-000462,Third person planned model,
Threading 4 pieces,O-006385,Active,SD-000069,Do (activity),
Threading 3 pieces,O-006384,Active,SD-000021,Activity,
Threading 3 pieces,O-006383,Active,SD-000069,Do (activity),
Threading 2 pieces,O-006382,Active,SD-000021,Activity,
Threading 2 pieces,O-006381,Active,SD-000069,Do (activity),
Threading 1 piece,O-006380,Active,SD-000021,Activity,
Threading 1 piece,O-006379,Active,SD-000069,Do (activity),
Threading,O-006378,Active,SD-000069,Do (activity),
Threading,O-006377,Active,SD-000323,Present activity,
Threading,O-006376,Active,SD-000021,Activity,
thirsty,O-006375,Active,SD-000415,Reverse why/because,
They,O-006374,Active,SD-000091,Exp. We/they/I/You,
they,O-006373,Active,SD-000392,Receptive,
they,O-006372,Active,SD-000382,Receptive,
they,O-006371,Active,SD-000154,Expressive,
they,O-006370,Active,SD-000266,Matching,
they,O-006369,Active,SD-000140,Expressive,
they,O-006368,Active,SD-000260,Matching,
Therapy room,O-006367,Active,SD-000037,Brushing teeth,
Therapy Assistant 3,O-006366,Active,SD-000144,Expressive,
Therapy Assistant 2,O-006365,Active,SD-000144,Expressive,
Therapy assistant 1,O-006364,Active,SD-000405,Receptive/expressive,
Therapy Assistant 1,O-006363,Active,SD-000144,Expressive,
Therapy Assistant,O-006362,Active,SD-000249,Location,
Therapy Assistant,O-006361,Active,SD-000302,Person facing away,
Their,O-006360,Active,SD-000355,Rec. our/their,
Their,O-006359,Active,SD-000087,Exp. our/their,
the,O-006358,Active,SD-000392,Receptive,
the,O-006357,Active,SD-000382,Receptive,
the,O-006356,Active,SD-000154,Expressive,
the,O-006355,Active,SD-000266,Matching,
the,O-006354,Active,SD-000140,Expressive,
the,O-006353,Active,SD-000260,Matching,
That's mine,O-006352,Active,SD-000040,Challenging situation,
that,O-006351,Active,SD-000392,Receptive,
that,O-006350,Active,SD-000382,Receptive,
that,O-006349,Active,SD-000154,Expressive,
that,O-006348,Active,SD-000266,Matching,
that,O-006347,Active,SD-000140,Expressive,
that,O-006346,Active,SD-000260,Matching,
TH's turn,O-006345,Active,SD-000245,Less preferred item,
TH's turn,O-006344,Active,SD-000321,Preferred item,
TH's turn,O-006343,Active,SD-000046,Close ended task,
TH's turn,O-006342,Active,SD-000292,Open ended task,
TH's turn,O-006341,Active,SD-000046,Close ended task,
TH play with client - 45 seconds,O-006340,Active,SD-000473,Tolerance,
TH play with client - 30 seconds,O-006339,Active,SD-000473,Tolerance,
TH play with client - 2 seconds,O-006338,Active,SD-000473,Tolerance,
TH play with client - 2 minutes,O-006337,Active,SD-000473,Tolerance,
TH play with client - 1 minute,O-006336,Active,SD-000473,Tolerance,
th on floor next to client,O-006335,Active,SD-000020,Activity,
th next to table,O-006334,Active,SD-000020,Activity,
th at table,O-006333,Active,SD-000020,Activity,
th across room,O-006332,Active,SD-000020,Activity,
th 2m away,O-006331,Active,SD-000020,Activity,
th 1m away,O-006330,Active,SD-000020,Activity,
th (thumb),O-006329,Active,SD-000424,Say (sound) th points,
th (there),O-006328,Active,SD-000424,Say (sound) th points,
th,O-006327,Active,SD-000145,Expressive,
th,O-006326,Active,SD-000387,Receptive,
th,O-006325,Active,SD-000445,Sound paired w gesture,
Textas vs crayons,O-006324,Active,SD-000372,Receptive,
Texta,O-006323,Active,SD-000523,Written Word,
Texta,O-006322,Active,SD-000135,Expressive,
tense/release shoulders,O-006321,Active,SD-000276,Model,
tense/release hands,O-006320,Active,SD-000276,Model,
Temple,O-006319,Active,SD-000139,Expressive,
Temple,O-006318,Active,SD-000381,Receptive,
Television,O-006317,Active,SD-000007,2D Receptive,
Television,O-006316,Active,SD-000135,Expressive,
Teletubby,O-006315,Active,SD-000007,2D Receptive,
Teeth,O-006314,Active,SD-000388,Receptive,
teddy cleaning,O-006313,Active,SD-000151,Expressive,
Teddy Bear,O-006312,Active,SD-000007,2D Receptive,
Teddy,O-006311,Active,SD-000523,Written Word,
teddy,O-006310,Active,SD-000392,Receptive,
Teddy,O-006309,Active,SD-000238,Item,
teddy,O-006308,Active,SD-000154,Expressive,
teddy,O-006307,Active,SD-000266,Matching,
Teachers,O-006306,Active,SD-000312,Play scenario,
Teachers,O-006305,Active,SD-000302,Person facing away,
teachers,O-006304,Active,SD-000332,Q/A,
teachers,O-006303,Active,SD-000246,List,
Teacher's name,O-006302,Active,SD-000411,Reciprocal,
Teacher's name,O-006301,Active,SD-000339,Q/A,
Teacher 2,O-006300,Active,SD-000144,Expressive,
Teacher 2,O-006299,Active,SD-000386,Receptive,
Teacher 2,O-006298,Active,SD-000263,Matching,
Teacher 1,O-006297,Active,SD-000144,Expressive,
Teacher 1,O-006296,Active,SD-000386,Receptive,
Teacher 1,O-006295,Active,SD-000263,Matching,
Teacher,O-006294,Active,SD-000094,Exposure,
Teacher,O-006293,Active,SD-000385,Receptive,
Teacher,O-006292,Active,SD-000326,Pretend to be,
Teacher,O-006291,Active,SD-000414,Reverse exp. function,
Teacher,O-006290,Active,SD-000142,Expressive,
Teacher,O-006289,Active,SD-000078,Exp. function,
Tea party,O-006288,Active,SD-000023,Activity,
Tea Party,O-006287,Active,SD-000023,Activity,
Tea party,O-006286,Active,SD-000323,Present activity,
tē,O-006285,Active,SD-000065,CV - VI,
tĕ,O-006284,Active,SD-000065,CV - VI,
Taxi,O-006283,Active,SD-000007,2D Receptive,
Taste,O-006282,Active,SD-000173,Expressive senses,
Target,O-006281,Active,SD-000165,Expressive Function,
Target,O-006280,Active,SD-000400,Receptive Function,
Target,O-006279,Active,SD-000139,Expressive,
Target,O-006278,Active,SD-000168,Expressive Occupation Location,
Target,O-006277,Active,SD-000381,Receptive,
Tap Thighs,O-006276,Active,SD-000352,Rec. Instr.,
Tap on,O-006275,Active,SD-000508,Wash hands,
Tap on,O-006274,Active,SD-000464,Toilet routine,
Tap on,O-006273,Active,SD-000234,Instruction w contextual cue,
Tap off,O-006272,Active,SD-000508,Wash hands,
Tap off,O-006271,Active,SD-000464,Toilet routine,
Tap off,O-006270,Active,SD-000234,Instruction w contextual cue,
Tap Drum,O-006269,Active,SD-000308,Planned model w item,
Tap balloon,O-006268,Active,SD-000022,Activity,
Tap balloon,O-006267,Active,SD-000361,Receptive,
Tap balloon,O-006266,Active,SD-000217,Imitation,
Tap arm + (name),O-006265,Active,SD-000303,Person not attending,
Tap arm,O-006264,Active,SD-000303,Person not attending,
tambourine,O-006263,Active,SD-000294,Out of sight,
Tamborine,O-006262,Active,SD-000007,2D Receptive,
tall,O-006261,Active,SD-000456,Synonym,
Talking,O-006260,Active,SD-000122,Expressive,
Talking,O-006259,Active,SD-000359,Receptive,
talk to (person),O-006258,Active,SD-000514,Why/because,
Tail,O-006257,Active,SD-000131,Expressive,
Tail,O-006256,Active,SD-000371,Receptive,
Table vs chair discrim,O-006255,Active,SD-000239,Item,
Table and chair,O-006254,Active,SD-000119,Exposure,
Table,O-006253,Active,SD-000249,Location,
table,O-006252,Active,SD-000392,Receptive,
Table,O-006251,Active,SD-000239,Item,
Table,O-006250,Active,SD-000125,Expressive,
Table,O-006249,Active,SD-000363,Receptive,
table,O-006248,Active,SD-000154,Expressive,
table,O-006247,Active,SD-000266,Matching,
Table,O-006246,Active,SD-000011,3D Receptive,
Table,O-006245,Active,SD-000007,2D Receptive,
Table,O-006244,Active,SD-000135,Expressive,
Table,O-006243,Active,SD-000288,Non-identical,
Table,O-006242,Active,SD-000212,Identical,
Table,O-006241,Active,SD-000287,Non-identical,
Table,O-006240,Active,SD-000211,Identical,
Table,O-006239,Active,SD-000286,Non-Identical,
Table,O-006238,Active,SD-000210,Identical,
TA1 Cutting,O-006237,Active,SD-000169,Expressive Person/Action,
TA1 Cutting,O-006236,Active,SD-000402,Receptive Person/action,
TA1 Cooking,O-006235,Active,SD-000169,Expressive Person/Action,
TA1 Cooking,O-006234,Active,SD-000402,Receptive Person/action,
TA1 Clapping,O-006233,Active,SD-000169,Expressive Person/Action,
TA1 Clapping,O-006232,Active,SD-000402,Receptive Person/action,
TA's Turn,O-006231,Active,SD-000481,Turn taking,
TA only,O-006230,Active,SD-000215,If/then,
TA Identify,O-006229,Active,SD-000499,Visual and Verbal,
TA across room,O-006228,Active,SD-000075,Engage in activity,
TA 4 Waving,O-006227,Active,SD-000169,Expressive Person/Action,
TA 4 Waving,O-006226,Active,SD-000402,Receptive Person/action,
TA 4 Sleeping,O-006225,Active,SD-000169,Expressive Person/Action,
TA 4 Sleeping,O-006224,Active,SD-000402,Receptive Person/action,
TA 4 Reading,O-006223,Active,SD-000169,Expressive Person/Action,
TA 4 Reading,O-006222,Active,SD-000402,Receptive Person/action,
TA 4 Jumping,O-006221,Active,SD-000169,Expressive Person/Action,
TA 4 Jumping,O-006220,Active,SD-000402,Receptive Person/action,
TA 4 Eating,O-006219,Active,SD-000169,Expressive Person/Action,
TA 4 Eating,O-006218,Active,SD-000402,Receptive Person/action,
TA 4 Drinking,O-006217,Active,SD-000169,Expressive Person/Action,
TA 4 Drinking,O-006216,Active,SD-000402,Receptive Person/action,
TA 4 Drawing,O-006215,Active,SD-000169,Expressive Person/Action,
TA 4 Drawing,O-006214,Active,SD-000402,Receptive Person/action,
TA 4 Cutting,O-006213,Active,SD-000169,Expressive Person/Action,
TA 4 Cutting,O-006212,Active,SD-000402,Receptive Person/action,
TA 4 Cooking,O-006211,Active,SD-000169,Expressive Person/Action,
TA 4 Cooking,O-006210,Active,SD-000402,Receptive Person/action,
TA 4 Clapping,O-006209,Active,SD-000169,Expressive Person/Action,
TA 4 Clapping,O-006208,Active,SD-000402,Receptive Person/action,
TA 3m away,O-006207,Active,SD-000075,Engage in activity,
TA 3 Waving,O-006206,Active,SD-000169,Expressive Person/Action,
TA 3 Waving,O-006205,Active,SD-000402,Receptive Person/action,
TA 3 Sleeping,O-006204,Active,SD-000169,Expressive Person/Action,
TA 3 Sleeping,O-006203,Active,SD-000402,Receptive Person/action,
TA 3 Reading,O-006202,Active,SD-000169,Expressive Person/Action,
TA 3 Reading,O-006201,Active,SD-000402,Receptive Person/action,
TA 3 Jumping,O-006200,Active,SD-000169,Expressive Person/Action,
TA 3 Jumping,O-006199,Active,SD-000402,Receptive Person/action,
TA 3 Eating,O-006198,Active,SD-000169,Expressive Person/Action,
TA 3 Eating,O-006197,Active,SD-000402,Receptive Person/action,
TA 3 Drinking,O-006196,Active,SD-000169,Expressive Person/Action,
TA 3 Drinking,O-006195,Active,SD-000402,Receptive Person/action,
TA 3 Drawing,O-006194,Active,SD-000169,Expressive Person/Action,
TA 3 Drawing,O-006193,Active,SD-000402,Receptive Person/action,
TA 3 Cutting,O-006192,Active,SD-000169,Expressive Person/Action,
TA 3 Cutting,O-006191,Active,SD-000402,Receptive Person/action,
TA 3 Cooking,O-006190,Active,SD-000169,Expressive Person/Action,
TA 3 Cooking,O-006189,Active,SD-000402,Receptive Person/action,
TA 3 Clapping,O-006188,Active,SD-000169,Expressive Person/Action,
TA 3 Clapping,O-006187,Active,SD-000402,Receptive Person/action,
TA 2m away,O-006186,Active,SD-000075,Engage in activity,
TA 2 Waving,O-006185,Active,SD-000169,Expressive Person/Action,
TA 2 Waving,O-006184,Active,SD-000402,Receptive Person/action,
TA 2 Sleeping,O-006183,Active,SD-000169,Expressive Person/Action,
TA 2 Sleeping,O-006182,Active,SD-000402,Receptive Person/action,
TA 2 Reading,O-006181,Active,SD-000169,Expressive Person/Action,
TA 2 Reading,O-006180,Active,SD-000402,Receptive Person/action,
TA 2 Jumping,O-006179,Active,SD-000169,Expressive Person/Action,
TA 2 Jumping,O-006178,Active,SD-000402,Receptive Person/action,
TA 2 Eating,O-006177,Active,SD-000169,Expressive Person/Action,
TA 2 Eating,O-006176,Active,SD-000402,Receptive Person/action,
TA 2 Drinking,O-006175,Active,SD-000169,Expressive Person/Action,
TA 2 Drinking,O-006174,Active,SD-000402,Receptive Person/action,
TA 2 Drawing,O-006173,Active,SD-000169,Expressive Person/Action,
TA 2 Drawing,O-006172,Active,SD-000402,Receptive Person/action,
TA 2 Cutting,O-006171,Active,SD-000169,Expressive Person/Action,
TA 2 Cutting,O-006170,Active,SD-000402,Receptive Person/action,
TA 2 Cooking,O-006169,Active,SD-000169,Expressive Person/Action,
TA 2 Cooking,O-006168,Active,SD-000402,Receptive Person/action,
TA 2 Clapping,O-006167,Active,SD-000169,Expressive Person/Action,
TA 2 Clapping,O-006166,Active,SD-000402,Receptive Person/action,
TA 1m away,O-006165,Active,SD-000075,Engage in activity,
TA 1 Waving,O-006164,Active,SD-000169,Expressive Person/Action,
TA 1 Waving,O-006163,Active,SD-000402,Receptive Person/action,
TA 1 Sleeping,O-006162,Active,SD-000169,Expressive Person/Action,
TA 1 Sleeping,O-006161,Active,SD-000402,Receptive Person/action,
TA 1 Reading,O-006160,Active,SD-000169,Expressive Person/Action,
TA 1 Reading,O-006159,Active,SD-000402,Receptive Person/action,
TA 1 Jumping,O-006158,Active,SD-000169,Expressive Person/Action,
TA 1 Jumping,O-006157,Active,SD-000402,Receptive Person/action,
TA 1 Eating,O-006156,Active,SD-000169,Expressive Person/Action,
TA 1 Eating,O-006155,Active,SD-000402,Receptive Person/action,
TA 1 Drinking,O-006154,Active,SD-000169,Expressive Person/Action,
TA 1 Drinking,O-006153,Active,SD-000402,Receptive Person/action,
TA 1 Drawing,O-006152,Active,SD-000169,Expressive Person/Action,
TA 1 Drawing,O-006151,Active,SD-000402,Receptive Person/action,
tā,O-006150,Active,SD-000065,CV - VI,
tă,O-006149,Active,SD-000065,CV - VI,
T-Shirt on,O-006148,Active,SD-000066,Daily living task,
T-Shirt off,O-006147,Active,SD-000066,Daily living task,
T-Shirt,O-006146,Active,SD-000238,Item,
T-Shirt,O-006145,Active,SD-000125,Expressive,
T-Shirt,O-006144,Active,SD-000363,Receptive,
T-Shirt,O-006143,Active,SD-000011,3D Receptive,
T-Shirt,O-006142,Active,SD-000007,2D Receptive,
T-Shirt,O-006141,Active,SD-000135,Expressive,
T-Shirt,O-006140,Active,SD-000288,Non-identical,
T-Shirt,O-006139,Active,SD-000212,Identical,
T-Shirt,O-006138,Active,SD-000287,Non-identical,
T-Shirt,O-006137,Active,SD-000211,Identical,
T-Shirt,O-006136,Active,SD-000286,Non-Identical,
T-Shirt,O-006135,Active,SD-000210,Identical,
t words,O-006134,Active,SD-000518,Words - VI,
t shirt,O-006133,Active,SD-000497,Visual - 2D,
t (reintro'd),O-006132,Active,SD-000438,Single sound VI,
T,O-006131,Active,SD-000521,Write (with visual),
t,O-006130,Active,SD-000521,Write (with visual),
t,O-006129,Active,SD-000145,Expressive,
t,O-006128,Active,SD-000138,Expressive,
T,O-006127,Active,SD-000138,Expressive,
T,O-006126,Active,SD-000520,Write (no visual),
t,O-006125,Active,SD-000520,Write (no visual),
t,O-006124,Active,SD-000438,Single sound VI,
T,O-006123,Active,SD-000479,Trace,
t,O-006122,Active,SD-000479,Trace,
t,O-006121,Active,SD-000387,Receptive,
t,O-006120,Active,SD-000424,Say (sound) th points,
t,O-006119,Active,SD-000380,Receptive,
T,O-006118,Active,SD-000380,Receptive,
t,O-006117,Active,SD-000259,Matching,
T,O-006116,Active,SD-000259,Matching,
t,O-006115,Active,SD-000445,Sound paired w gesture,
Synagogue,O-006114,Active,SD-000139,Expressive,
Synagogue,O-006113,Active,SD-000381,Receptive,
Switch,O-006112,Active,SD-000131,Expressive,
Switch,O-006111,Active,SD-000371,Receptive,
Swipe Block,O-006110,Active,SD-000308,Planned model w item,
Swing,O-006109,Active,SD-000249,Location,
swing,O-006108,Active,SD-000392,Receptive,
Swing,O-006107,Active,SD-000239,Item,
swing,O-006106,Active,SD-000154,Expressive,
swing,O-006105,Active,SD-000266,Matching,
Swing,O-006104,Active,SD-000323,Present activity,
Swimming pool,O-006103,Active,SD-000165,Expressive Function,
Swimming pool,O-006102,Active,SD-000400,Receptive Function,
Swimming pool,O-006101,Active,SD-000139,Expressive,
Swimming pool,O-006100,Active,SD-000168,Expressive Occupation Location,
Swimming pool,O-006099,Active,SD-000381,Receptive,
swimming,O-006098,Active,SD-000322,Present,
Swimming,O-006097,Active,SD-000137,Expressive,
Swimming,O-006096,Active,SD-000378,Receptive,
Swimming,O-006095,Active,SD-000122,Expressive,
swimming,O-006094,Active,SD-000152,Expressive,
Swimming,O-006093,Active,SD-000035,Brainstorming,
Swimming,O-006092,Active,SD-000359,Receptive,
swim,O-006091,Active,SD-000182,Future,
Sweet,O-006090,Active,SD-000174,Expressive taste,
swam,O-006089,Active,SD-000299,Past,
swallow,O-006088,Active,SD-000221,Imitation,
Sustained sounds,O-006087,Active,SD-000438,Single sound VI,
Sustained blow,O-006086,Active,SD-000222,Imitation,
Sustained,O-006085,Active,SD-000493,Visual,
Surprised person #4,O-006084,Active,SD-000133,Expressive,
Surprised person #3,O-006083,Active,SD-000133,Expressive,
Surprised person #2,O-006082,Active,SD-000133,Expressive,
Surprised person #1,O-006081,Active,SD-000133,Expressive,
Surprised cartoon face,O-006080,Active,SD-000133,Expressive,
Surprised,O-006079,Active,SD-000092,Exposure,
Surprised,O-006078,Active,SD-000379,Receptive,
Surprised,O-006077,Active,SD-000067,Demonstration,
Surprised,O-006076,Active,SD-000133,Expressive,
Surprised,O-006075,Active,SD-000510,Why,
Surprised,O-006074,Active,SD-000334,Q/A,
Surprised,O-006073,Active,SD-000236,Instructional gesture,
Surprised,O-006072,Active,SD-000375,Receptive,
Surprised,O-006071,Active,SD-000258,Matching,
Surprised,O-006070,Active,SD-000208,How to help,
Surprised,O-006069,Active,SD-000207,How they feel,
Supermarket,O-006068,Active,SD-000117,Exposure,
Supermarket,O-006067,Active,SD-000165,Expressive Function,
Supermarket,O-006066,Active,SD-000400,Receptive Function,
Supermarket,O-006065,Active,SD-000139,Expressive,
Supermarket,O-006064,Active,SD-000168,Expressive Occupation Location,
Supermarket,O-006063,Active,SD-000381,Receptive,
Superheroes,O-006062,Active,SD-000312,Play scenario,
sunny,O-006061,Active,SD-000415,Reverse why/because,
Sunday,O-006060,Active,SD-000373,Receptive,
Sunday,O-006059,Active,SD-000132,Expressive,
Sun,O-006058,Active,SD-000220,Imitation,
Sun,O-006057,Active,SD-000374,Receptive,
Sun,O-006056,Active,SD-000180,From model,
Summer clothes,O-006055,Active,SD-000369,Receptive,
Summer clothes,O-006054,Active,SD-000129,Expressive,
Summer clothes,O-006053,Active,SD-000034,Brainstorming,
Sultanas,O-006052,Active,SD-000135,Expressive,
Sultanas,O-006051,Active,SD-000175,Expressive visual only,
sū,O-006050,Active,SD-000065,CV - VI,
sŭ,O-006049,Active,SD-000065,CV - VI,
Study,O-006048,Active,SD-000249,Location,
Stripe,O-006047,Active,SD-000131,Expressive,
Stripe,O-006046,Active,SD-000371,Receptive,
String counting,O-006045,Active,SD-000276,Model,
Stretch up flop down,O-006044,Active,SD-000276,Model,
strawberry,O-006043,Active,SD-000031,Book w/o model,
strawberry,O-006042,Active,SD-000392,Receptive,
strawberry,O-006041,Active,SD-000154,Expressive,
strawberry,O-006040,Active,SD-000266,Matching,
Straw,O-006039,Active,SD-000468,Tolerance,
Strap,O-006038,Active,SD-000131,Expressive,
Strap,O-006037,Active,SD-000371,Receptive,
strangers,O-006036,Active,SD-000332,Q/A,
strangers,O-006035,Active,SD-000246,List,
Stop - re-intro'd,O-006034,Active,SD-000040,Challenging situation,
stop,O-006033,Active,SD-000291,Not holding hands,
Stop,O-006032,Active,SD-000277,Model language,
Stop,O-006031,Active,SD-000051,Comm. opportunity,
Stop,O-006030,Active,SD-000379,Receptive,
stop,O-006029,Active,SD-000056,Communication opportunity,
Stop,O-006028,Active,SD-000106,Exposure,
Stop,O-006027,Active,SD-000334,Q/A,
Stop,O-006026,Active,SD-000236,Instructional gesture,
Stop,O-006025,Active,SD-000040,Challenging situation,
stomping,O-006024,Active,SD-000322,Present,
stomped,O-006023,Active,SD-000299,Past,
Stomp Feet,O-006022,Active,SD-000352,Rec. Instr.,
Stomp Feet,O-006021,Active,SD-000307,Planned model,
stomp,O-006020,Active,SD-000182,Future,
Stomach,O-006019,Active,SD-000007,2D Receptive,
Stomach,O-006018,Active,SD-000131,Expressive,
Stomach,O-006017,Active,SD-000371,Receptive,
Stomach,O-006016,Active,SD-000362,Receptive,
Stomach,O-006015,Active,SD-000124,Expressive,
Stir Tea,O-006014,Active,SD-000356,Rec. play instr.,
Stir tea,O-006013,Active,SD-000308,Planned model w item,
stir cup,O-006012,Active,SD-000308,Planned model w item,
Stimuli,O-006011,Active,SD-000189,Generalised SD,
Stickers,O-006010,Active,SD-000273,missing component w/ visual,
Stepping on stool,O-006009,Active,SD-000431,Sequence,
Stepping on stool,O-006008,Active,SD-000148,Expressive,
Step over item,O-006007,Active,SD-000022,Activity,
Steering,O-006006,Active,SD-000417,Ride bike,
Steering,O-006005,Active,SD-000416,Ride Bike,
Statement,O-006004,Active,SD-000196,Go tell,
Start/stop running,O-006003,Active,SD-000022,Activity,
Star jumps,O-006002,Active,SD-000022,Activity,
star,O-006001,Active,SD-000392,Receptive,
Star,O-006000,Active,SD-000391,Receptive,
