Name,Stage__c,Status__c,Area__c,SDID__c,PID__c,Program_Name__c
item removed,Stage Three,Active,Abstract Concepts,SD-000241,P-000223,What's missing?
Expressive,Stage Four,Active,Abstract Concepts,SD-000151,P-000224,What's silly
Expressive,Stage Three,Active,School Readiness,SD-000152,P-000225,When
Expressive reverse,Stage Three,Active,School Readiness,SD-000172,P-000225,When
Expressive,Stage Three,Active,Language,SD-000153,P-000226,Who What When Where Why How
Why don't/because,Stage Three,Active,Language,SD-000511,P-000227,Why/because
Why/because,Stage Three,Active,Language,SD-000514,P-000227,Why/because
Reverse why/because,Stage Three,Active,Language,SD-000415,P-000227,Why/because
Matching,Stage Three,Active,School Readiness,SD-000266,P-000228,Word matching
Matching,Stage Three,Active,School Readiness,SD-000267,P-000229,Words
Receptive,Stage Three,Active,School Readiness,SD-000392,P-000229,Words
Expressive,Stage Three,Active,School Readiness,SD-000154,P-000229,Words
Activity with distraction,Stage Three,Active,School Readiness,SD-000026,P-000230,Working through distractions
Worksheet,Stage Three,Active,School Readiness,SD-000519,P-000231,Worksheets
Write (with visual),Stage Three,Active,School Readiness,SD-000521,P-000232,Writing
Write (no visual),Stage Four,Active,School Readiness,SD-000520,P-000232,Writing
Question with visual,Stage Two,Active,Conversation,SD-000348,P-000233,Yes/no
Question without visual,Stage Two,Active,Conversation,SD-000349,P-000233,Yes/no
Factual,Stage Two,Active,Expressive Language,SD-000178,P-000233,Yes/no
You be the teacher,Stage Three,Active,Conversation,SD-000524,P-000234,You be the teacher
Zones of regulation visual,Stage Three,Active,Self-Care,SD-000525,P-000235,Zones of regulation
Receptive Person/action,Stage One,Active,Receptive Language,SD-000402,P-000004,Actions
Expressive Person/Action,Stage Two,Active,Expressive Language,SD-000169,P-000004,Actions
Exposure,Stage Two,Active,Abstract Concepts,SD-000116,P-000014,Behaviour Vocabulary
Brainstorm,Stage Four,Active,Abstract Concepts,SD-000032,P-000014,Behaviour Vocabulary
Q/A,Stage Three,Active,Abstract Concepts,SD-000340,P-000014,Behaviour Vocabulary
Statement,Stage Three,Active,Abstract Concepts,SD-000451,P-000014,Behaviour Vocabulary
Receptive Before,Stage Three,Active,Abstract Concepts,SD-000399,P-000013,Before/After
Scale,Stage Four,Active,Abstract Concepts,SD-000426,P-000024,Catastrophe Scale
Scenario,Stage Four,Active,Abstract Concepts,SD-000427,P-000024,Catastrophe Scale
Sequencing,Stage Three,Active,Abstract Concepts,SD-000434,P-000023,Calendar
Activities on Day,Stage Three,Active,Abstract Concepts,SD-000018,P-000023,Calendar
Room,Stage One,Active,Receptive Language,SD-000420,P-000081,Go To
Go to and Action,Stage Two,Active,Receptive Language,SD-000199,P-000082,Go To and Action
Go To,Stage One,Active,Receptive Language,SD-000198,P-000084,Go Went
Where did you go?,Stage Three,Active,Language,SD-000509,P-000084,Go Went
Imaginary Play,Stage Three,Active,Social Play Skills,SD-000216,P-000141,Pretend
Song with planned model,Stage One,Active,Imitation,SD-000443,P-000183,Song Actions
Tolerance to Item,Stage One,Active,Learning to Learn,SD-000474,P-000205,Tolerance
Tolerance to Music,Stage One,Active,Learning to Learn,SD-000475,P-000205,Tolerance
Exp. We/they/I/You,Stage Three,Active,Abstract Concepts,SD-000091,P-000150,Pronouns
Person not attending,Stage Two,Active,Conversation,SD-000303,P-000076,Getting attention
Ta,Stage One,Active,Receptive Language,SD-000457,P-000041,Contextual Instructions
Language exposure,Stage Two,Active,Receptive Language,SD-000244,P-000054,Drawing language exposure
Food presentation,Stage Two,Active,Self-Care,SD-000179,P-000056,Eating tolerance
Sampling,Stage One,Active,Learning to Learn,SD-000422,P-000163,Reinforcement Development
Generalised,Stage One,Active,Learning to Learn,SD-000185,P-000151,Proximity tolerance
Generalised,Stage One,Active,Learning to Learn,SD-000188,P-000032,Come Here
Item for person not attending,Stage Two,Active,Conversation,SD-000240,P-000076,Getting attention
Parent leaves (inside),Stage One,Active,Learning to Learn,SD-000296,P-000206,Tolerance to Parents Leaving
Tolerance,Stage One,Active,Self-Care,SD-000472,P-000221,Washing hands tolerance
Matching,Stage One,Active,Matching,SD-000268,P-000005,Animal Matching
Mand,Stage One,Active,Communication,SD-000251,P-000185,Songs
Mand,Stage One,Active,Communication,SD-000252,P-000020,Books
Visual,Stage One,Active,Matching,SD-000493,P-000078,Give me same
Book w model,Stage Two,Active,Expressive Language,SD-000030,P-000062,Expressive labels exposure
Book w/o model,Stage Two,Active,Expressive Language,SD-000031,P-000062,Expressive labels exposure
Visual,Stage Two,Active,Expressive Language,SD-000492,P-000062,Expressive labels exposure
Visual,Stage Two,Active,Expressive Language,SD-000491,P-000148,Proloquo2go people
Labels exposure,Stage One,Active,Receptive Language,SD-000243,P-000146,Proloquo2go commenting
Communication opportunity,Stage One,Active,Communication,SD-000057,P-000143,Proloquo requests
Activity,Stage Two,Active,Play Skills,SD-000024,P-000008,Arts and Crafts
Tolerance,Stage Two,Active,Self-Care,SD-000473,P-000088,Hat tolerance
Exposure,Stage One,Active,Speech,SD-000114,P-000124,Oral Motor
Receptive,Stage Two,Active,Play Skills,SD-000393,P-000006,Animal Sounds
From Play,Stage One,Active,Learning to Learn,SD-000181,P-000032,Come Here
Exposure,Stage One,Active,Receptive Language,SD-000118,P-000060,Exposure
Generalised,Stage One,Active,Matching,SD-000187,P-000186,Sorting
Exposure,Stage Two,Active,Speech,SD-000115,P-000007,Articulation Modelling
Safe Throwing Activity,Stage One,Active,Receptive Language,SD-000421,P-000152,Put It Down
Planned model,Stage Two,Active,Imitation,SD-000306,P-000138,Precision NVI
Model,Stage One,Active,Communication,SD-000275,P-000034,Communication Temptation
Written Word,Stage One,Active,Receptive Language,SD-000523,P-000022,Bring Me
Action with object,Stage One,Active,Imitation,SD-000016,P-000113,Non Verbal Imitation (NVI)
Generalised SD,Stage Two,Active,Kinder Readiness,SD-000189,P-000073,Generalisation
Expressive visual only,Stage Two,Active,Expressive Language,SD-000175,P-000061,Expressive Labels
Exp. I/You (who),Stage Three,Active,Abstract Concepts,SD-000080,P-000150,Pronouns
Exp. I/you (what),Stage Three,Active,Abstract Concepts,SD-000079,P-000150,Pronouns
Tolerance,Stage Two,Active,Self-Care,SD-000470,P-000012,Bathroom tolerance
Getting attention,Stage One,Active,Communication,SD-000190,P-000034,Communication Temptation
Activity,Stage Two,Active,Self-Care,SD-000019,P-000045,Daily living skills
Expressive,Stage Two,Active,Expressive Language,SD-000156,P-000104,Language exposure
Model language,Stage One,Active,Receptive Language,SD-000277,P-000104,Language exposure
Model sentence,Stage Three,Active,Language,SD-000279,P-000104,Language exposure
Model rule,Stage Three,Active,Abstract Concepts,SD-000278,P-000181,Social rules
Colour,Stage One,Active,Matching,SD-000047,P-000001,2D Matching
Shape,Stage One,Active,Matching,SD-000435,P-000001,2D Matching
Colour/shape,Stage One,Active,Matching,SD-000048,P-000001,2D Matching
Exposure,Stage One,Active,Receptive Language,SD-000117,P-000107,Locations
Volume,Stage Three,Active,Speech,SD-000504,P-000212,Verbal Imitation (VI)
Stay,Stage Two,Active,Community Access,SD-000453,P-000219,Walk with me
Wait w/o visual,Stage Two,Active,Learning to Learn,SD-000506,P-000217,Wait tolerance
Receptive/expressive,Stage Two,Active,Receptive Language,SD-000405,P-000129,People
Unplanned model with toy,Stage Two,Active,Imitation,SD-000483,P-000134,Play Imitation
TA's turn,Stage Two,Active,Learning to Learn,SD-000459,P-000155,Reading tolerance
Statement in play,Stage Three,Active,Conversation,SD-000452,P-000160,Reciprocal statements
I have,Stage Three,Active,Conversation,SD-000209,P-000160,Reciprocal statements
Moderately preferred item,Stage Two,Active,Social Play Skills,SD-000280,P-000210,Turn Taking
Tolerance,Stage Two,Active,Self-Care,SD-000469,P-000202,Toilet tolerance
Statement,Stage Three,Active,Conversation,SD-000447,P-000043,Conversation
Question,Stage Three,Active,Conversation,SD-000346,P-000043,Conversation
Receptive/expressive,Stage Two,Active,Expressive Language,SD-000406,P-000071,Functions
Chart,Stage Three,Active,School Readiness,SD-000042,P-000167,Reward Chart
Tracing,Stage Two,Active,Kinder Readiness,SD-000480,P-000008,Arts and Crafts
Receptive w/ objects,Stage Two,Active,Conversation,SD-000404,P-000026,Choices
Expressive/Receptive,Stage Two,Active,Conversation,SD-000177,P-000026,Choices
Item with visual,Stage One,Active,Receptive Language,SD-000242,P-000022,Bring Me
Proloquo,Stage Two,Active,Conversation,SD-000329,P-000026,Choices
Point in direction,Stage Two,Active,Learning to Learn,SD-000318,P-000102,Joint Attention
Cutting and Pasting Activity,Stage Two,Active,Play Skills,SD-000063,P-000008,Arts and Crafts
Holding hands tolerance,Stage Two,Active,Community Access,SD-000205,P-000219,Walk with me
Getting dressed,Stage Two,Active,Self-Care,SD-000191,P-000077,Getting dressed
Visual,,Active,,SD-000495,P-000067,Finished
Volume,,Active,,SD-000503,P-000149,Proloquo2go Tolerance
Without Items,,Active,,SD-000517,P-000141,Pretend
Matching,,Active,,SD-000269,P-000018,Body Parts
Action,,Active,,SD-000014,P-000050,Do vs Don't
Sustained sound,Stage Two,Active,Speech,SD-000455,P-000212,Verbal Imitation (VI)
Visual,,Active,,SD-000496,P-000145,Proloquo2go Colour/shape
Receptive,Stage Two,Active,Receptive Language,SD-000394,P-000028,Colour/Item
Engage In Strategy,,Active,,SD-000077,P-000235,Zones of regulation
Receptive,Stage Two,Active,Receptive Language,SD-000395,P-000130,People actions
Exposure,Stage One,Active,Learning to Learn,SD-000119,P-000195,Table and chair exposure
Snack,Stage One,Active,Learning to Learn,SD-000439,P-000178,Snack Time
Child Guessing,,Active,,SD-000044,P-000087,Guess
Emotions Brainstorming,,Active,,SD-000074,P-000040,Contextual emotions
Say,,Active,,SD-000423,P-000050,Do vs Don't
Contextual Instruction,Stage One,Active,,SD-000059,P-000125,Packing up
Visual - 2D,Stage Two,Active,Expressive Language,SD-000497,P-000062,Expressive labels exposure
Visual - 3D,Stage Two,Active,Expressive Language,SD-000498,P-000062,Expressive labels exposure
Receptive,Stage Two,Active,Receptive Language,SD-000396,P-000072,Gender
Expressive,Stage Two,Active,Expressive Language,SD-000155,P-000072,Gender
Receptive,Stage Three,Active,Receptive Language,SD-000397,P-000089,His/her
Activity,Stage One,Active,Play Skills,SD-000025,P-000097,Independent play
Parents leave (outside),Stage One,Active,Learning to Learn,SD-000297,P-000206,Tolerance to Parents Leaving
EXPOSURE,Stage One,Active,Communication,SD-000093,P-000147,Proloquo2go Exposure
Meal,,Active,,SD-000271,P-000178,Snack Time
Expressive - Intra-verbal,Stage Two,Active,Expressive Language,SD-000157,P-000025,Categories
Losing,,Active,,SD-000250,P-000205,Tolerance
Expressive,Stage Two,Active,Expressive Language,SD-000120,P-000130,People actions
Reciprocal,,Active,,SD-000407,P-000171,Say vs. do
Drawing,,Active,,SD-000072,P-000008,Arts and Crafts
Move back,Stage Two,Active,Receptive Language,SD-000281,P-000112,Move back
missing component w/ visual,,Active,,SD-000273,P-000223,What's missing?
Next,,Active,,SD-000282,P-000139,Predicting
Visual exchange,Stage One,Active,Communication,SD-000502,P-000034,Communication Temptation
Expressive,,Active,,SD-000121,P-000028,Colour/Item
PLQ Mand,Stage One,Active,Communication,SD-000316,P-000185,Songs
PLQ Intraverbal,Stage Two,Active,Expressive Language,SD-000314,P-000185,Songs
PLQ Mand,Stage Two,Active,Expressive Language,SD-000315,P-000004,Actions
In Sight,Stage One,Active,,SD-000225,P-000093,I'll be back
Out of sight,,Active,,SD-000293,P-000093,I'll be back
Tolerance,,Active,,SD-000467,P-000192,Sticker Tolerance
Tolerance,,Active,,SD-000468,P-000173,Self Help
Exposure,,Active,,SD-000092,P-000057,Emotions
Exposure,Stage Two,Active,Receptive Language,SD-000094,P-000121,Occupations
Verbal Imitation,Stage Two,Active,Imitation,SD-000486,P-000061,Expressive Labels
Walk properly,Stage Two,Active,Community Access,SD-000507,P-000218,Walk properly
Draw,,Active,,SD-000071,P-000052,Drawing
Missing item,Stage Two,Active,,SD-000274,P-000172,Searching
Expressive 3rd person,Stage Two,Active,Expressive Language,SD-000161,P-000004,Actions
Exposure,,Active,,SD-000095,P-000227,Why/because
Exposure,Stage Two,Active,Abstract Concepts,SD-000096,P-000140,Prepositions
Analogue,Stage Three,Active,Abstract Concepts,SD-000028,P-000199,Time
Digital,Stage Three,Active,Abstract Concepts,SD-000068,P-000199,Time
Expressive,,Active,,LFL-SD-000001,P-000211,Typing
Weekly Schedule,,Active,,LFL-SD-000002,P-000225,When
Receptive,Stage Two,Active,Receptive Language,LFL-SD-000003,P-000123,Opposites
Therapist choice,Stage One,Active,Play Skills,LFL-SD-000004,P-000133,Play Flexibility
Exposure,,Active,,LFL-SD-000005,P-000040,Contextual emotions
TA GIVES CLUES,,Active,,LFL-SD-000006,LFL-P-000001,Treasure Hunt
CHILD GIVES CLUES,,Active,,LFL-SD-000007,LFL-P-000001,Treasure Hunt
Tolerance,Stage One,Active,Play Skills,LFL-SD-000008,P-000020,Books
Exposure,,Active,,LFL-SD-000009,LFL-P-000002,Social stories
Expressive,Stage Two,Active,Expressive Language,LFL-SD-000010,LFL-P-000003,Proloquo2go Body parts
TA Moves Away,,Active,,LFL-SD-000011,LFL-P-000004,Independent Tasks
Matching,Stage Three,Active,School Readiness,LFL-SD-000012,LFL-P-000005,Draw Line to Same
What's that from?,Stage Four,Active,Conversation,LFL-SD-000013,LFL-P-000006,What's that from?
Visual,Stage One,Active,Learning to Learn,LFL-SD-000014,LFL-P-000007,Pause
Eating own food,Stage Two,Active,Community Access,LFL-SD-000015,LFL-P-000008,Table manners
Using cutlery,Stage Three,Active,Self-Care,LFL-SD-000016,LFL-P-000008,Table manners
BRAINSTORM,,Active,,LFL-SD-000017,P-000131,Phonics
Exp Gender,,Active,,LFL-SD-000018,P-000150,Pronouns
DISCUSSION,,Active,,LFL-SD-000019,LFL-P-000009,Location Rules
School bag,Stage Three,Active,Self-Care,LFL-SD-000020,LFL-P-000011,Managing school bag
Exposure,Stage Three,Active,Abstract Concepts,LFL-SD-000021,LFL-P-000010,Body Check Ring
Lining up,Stage Four,Active,School Readiness,LFL-SD-000022,LFL-P-000012,Lining up
Walking in line,Stage Four,Active,School Readiness,LFL-SD-000023,LFL-P-000012,Lining up
Imitation,Stage One,Active,Learning to Learn,LFL-SD-000024,P-000162,Reinforcement Contingency
Tolerance,Stage One,Active,Self-Care,LFL-SD-000025,LFL-P-000014,Hair Tolerance
Communication Opportunity,Stage One,Active,Communication,LFL-SD-000026,LFL-P-000013,LAMP
Sorting,Stage Three,Active,Abstract Concepts,LFL-SD-000027,LFL-P-000015,Green vs Red Choice
Exposure,Stage Two,Active,Play Skills,LFL-SD-000028,LFL-P-000016,Co-operative Play
Independent,Stage One,Active,Play Skills,LFL-SD-000029,P-000132,Play Development
Exposure,Stage One,Active,Play Skills,LFL-SD-000030,P-000132,Play Development
Exposure,Stage One,Active,Play Skills,LFL-SD-000031,P-000185,Songs
Independent,Stage One,Active,Play Skills,LFL-SD-000032,P-000185,Songs
Independent,Stage Two,Active,Play Skills,LFL-SD-000033,LFL-P-000016,Co-operative Play
Brainstorming,Stage Four,Active,Expressive reasoning,LFL-SD-000034,LFL-P-000015,Green vs Red Choice
Sorting,Stage Three,Active,Self-Care,LFL-SD-000035,P-000018,Body Parts
Exposure,Stage Four,Active,Expressive reasoning,LFL-SD-000036,LFL-P-000015,Green vs Red Choice
Verbal,Stage One,Active,Learning to Learn,LFL-SD-000037,LFL-P-000007,Pause
Exposure,Stage One,Active,Self-Care,LFL-SD-000038,P-000070,Food tolerance
Red board,Stage Four,Active,Abstract Concepts,LFL-SD-000039,LFL-P-000017,Choice board
Green Board,Stage Four,Active,Abstract Concepts,LFL-SD-000040,LFL-P-000017,Choice board
With peer,Stage One,Active,Play Skills,LFL-SD-000041,P-000132,Play Development
Visual w/ written,Stage Three,Active,Expressive Language,LFL-SD-000042,P-000061,Expressive Labels
Independent sentence,Stage Two,Active,Expressive Language,LFL-SD-000043,P-000104,Language exposure
Adult initiated,Stage One,Active,Self-Care,LFL-SD-000044,LFL-P-000018,Drinking
Independent,Stage One,Active,Self-Care,LFL-SD-000045,LFL-P-000018,Drinking
Independent,Stage Two,Active,Imitation,LFL-SD-000046,P-000053,Drawing Imitation
Independent,Stage Two,Active,Self-Care,LFL-SD-000047,P-000077,Getting dressed
Exposure,Stage Two,Active,Imitation,LFL-SD-000048,P-000053,Drawing Imitation
Exposure,Stage Two,Active,Self-Care,LFL-SD-000049,P-000077,Getting dressed
