"SDID","SD: SD Name","Status","Area","PID","SD Description","Stage"
"SD-000399","Receptive Before","Active","Abstract Concepts","P-000013","","Stage Three"
"SD-000400","Receptive Function","Active","Receptive Language","P-000107","","Stage Two"
"SD-000401","Receptive Instruction","Active","Play Skills","P-000016","","Stage One"
"SD-000402","Receptive Person/action","Active","Receptive Language","P-000004","","Stage One"
"SD-000403","Receptive Q/A","Active","Play Skills","P-000006","","Stage Two"
"SD-000404","Receptive w/ objects","Active","Conversation","P-000026","","Stage Two"
"SD-000405","Receptive/expressive","Active","Receptive Language","P-000129","","Stage Two"
"SD-000406","Receptive/expressive","Active","Expressive Language","P-000071","","Stage Two"
"SD-000407","Reciprocal","Active","","P-000171","",""
"SD-000408","Reciprocal","Active","Conversation","P-000085","","Stage Two"
"SD-000409","Reciprocal","Active","Language","P-000091","","Stage Three"
"SD-000410","Reciprocal","Active","Language","P-000092","","Stage Three"
"SD-000411","Reciprocal","Active","Conversation","P-000180","","Stage Three"
"SD-000412","Reinforcing item","Active","Learning to Learn","P-000151","","Stage One"
"SD-000413","rest time","Active","Receptive Language","P-000166","","Stage Two"
"SD-000414","Reverse exp. function","Active","Language","P-000121","","Stage Three"
"SD-000415","Reverse why/because","Active","Language","P-000227","","Stage Three"
"SD-000416","Ride Bike","Active","Play Skills","P-000015","","Stage Two"
"SD-000417","Ride bike","Active","Play Skills","P-000168","","Stage Two"
"SD-000418","Role play","Active","Expressive reasoning","P-000169","","Stage Four"
"SD-000419","Role projection","Active","Expressive reasoning","P-000182","","Stage Four"
"SD-000420","Room","Active","Receptive Language","P-000081","","Stage One"
"SD-000421","Safe Throwing Activity","Active","Receptive Language","P-000152","","Stage One"
"SD-000422","Sampling","Active","Learning to Learn","P-000163","","Stage One"
"SD-000423","Say","Active","","P-000050","",""
"SD-000424","Say (sound) th points","Active","Speech","P-000115","","Stage Two"
"SD-000425","Say it loudly/quietly","Active","Conversation","P-000216","","Stage Four"
"SD-000426","Scale","Active","Abstract Concepts","P-000024","","Stage Four"
"SD-000427","Scenario","Active","Abstract Concepts","P-000024","","Stage Four"
"SD-000428","Sequence","Active","School Readiness","P-000105","","Stage Three"
"SD-000429","Sequence","Active","Kinder Readiness","P-000116","","Stage Two"
"SD-000430","Sequence","Active","School Readiness","P-000127","","Stage Three"
"SD-000431","Sequence","Active","Language","P-000175","","Stage Three"
"SD-000432","Sequence Letters","Active","School Readiness","P-000189","","Stage Three"
"SD-000433","Sequencing","Active","School Readiness","P-000046","","Stage Three"
"SD-000434","Sequencing","Active","Abstract Concepts","P-000023","","Stage Three"
"SD-000435","Shape","Active","Matching","P-000001","","Stage One"
"SD-000436","Show items/pictures","Active","Expressive Language","P-000156","","Stage Four"
"SD-000437","Signicant activity","Active","Expressive Language","P-000156","","Stage Four"
"SD-000438","Single sound VI","Active","Speech","P-000212","","Stage One"
"SD-000439","Snack","Active","Learning to Learn","P-000178","","Stage One"
"SD-000440","Social game","Active","Social Play Skills","P-000179","","Stage Three"
"SD-000441","Social question","Active","Conversation","P-000090","","Stage Three"
"SD-000442","Song exposure","Active","Play Skills","P-000184","","Stage One"
"SD-000443","Song with planned model","Active","Imitation","P-000183","","Stage One"
"SD-000444","Sorting","Active","Abstract Concepts","P-000025","","Stage Two"
"SD-000445","Sound paired w gesture","Active","Speech","P-000044","","Stage Two"
"SD-000446","Stamping","Active","Play Skills","P-000008","","Stage Two"
"SD-000447","Statement","Active","Conversation","P-000043","","Stage Three"
"SD-000448","Statement","Active","Expressive Language","P-000047","","Stage Four"
"SD-000449","Statement","Active","Conversation","P-000160","","Stage Three"
"SD-000450","Statement","Active","Conversation","P-000191","","Stage Three"
"SD-000451","Statement","Active","Abstract Concepts","P-000014","","Stage Three"
"SD-000452","Statement in play","Active","Conversation","P-000160","","Stage Three"
"SD-000453","Stay","Active","Community Access","P-000219","","Stage Two"
"SD-000454","Stop","Active","Social Play Skills","P-000193","","Stage Three"
"SD-000455","Sustained sound","Active","Speech","P-000212","","Stage Two"
"SD-000456","Synonym","Active","Expressive Language","P-000215","","Stage Four"
"SD-000457","Ta","Active","Receptive Language","P-000041","","Stage One"
"SD-000458","Ta","Active","Learning to Learn","P-000194","","Stage One"
"SD-000459","TA's turn","Active","Learning to Learn","P-000155","","Stage Two"
"SD-000460","Tell me how to","Active","Expressive Language","P-000080","","Stage Four"
"SD-000461","TH gives clues","Active","Expressive reasoning","P-000087","","Stage Four"
"SD-000462","Third person planned model","Active","Social Play Skills","P-000113","","Stage Two"
"SD-000463","Third person unplanned model","Active","Social Play Skills","P-000113","","Stage Two"
"SD-000464","Toilet routine","Active","Self-Care","P-000201","","Stage Two"
"SD-000465","Toileting","Active","Self-Care","P-000203","","Stage Two"
"SD-000466","Token board","Active","School Readiness","P-000204","","Stage Three"
"SD-000467","Tolerance","Active","","P-000192","",""
"SD-000468","Tolerance","Active","","P-000173","",""
"SD-000469","Tolerance","Active","Self-Care","P-000202","","Stage Two"
"SD-000470","Tolerance","Active","Self-Care","P-000012","","Stage Two"
"SD-000471","Tolerance","Active","Learning to Learn","P-000200","","Stage One"
"SD-000472","Tolerance","Active","Self-Care","P-000221","","Stage One"
"SD-000473","Tolerance","Active","Self-Care","P-000088","","Stage Two"
"SD-000474","Tolerance to Item","Active","Learning to Learn","P-000205","","Stage One"
"SD-000475","Tolerance to Music","Active","Learning to Learn","P-000205","","Stage One"
"SD-000476","Toothbrush benign location","Active","Self-Care","P-000207","","Stage One"
"SD-000477","Toothbrush to lips","Active","Self-Care","P-000207","","Stage One"
"SD-000478","Toothbrush to teeth","Active","Self-Care","P-000207","","Stage One"
"SD-000479","Trace","Active","Kinder Readiness","P-000209","","Stage Two"
"SD-000480","Tracing","Active","Kinder Readiness","P-000008","","Stage Two"
"SD-000481","Turn taking","Active","Social Play Skills","P-000210","","Stage Two"
"SD-000482","Type","Active","School Readiness","P-000211","","Stage Three"
"SD-000483","Unplanned model with toy","Active","Imitation","P-000134","","Stage Two"
"SD-000484","VC - VI","Active","Speech","P-000212","","Stage One"
"SD-000485","Verbal","Inactive","Learning to Learn","P-000114","","Stage One"
"SD-000486","Verbal Imitation","Active","Imitation","P-000061","","Stage Two"
"SD-000487","VI","Active","Speech","P-000212","","Stage One"
"SD-000488","VI - sentence intonation","Active","Speech","P-000212","","Stage Three"
"SD-000489","VI intonation","Active","Speech","P-000099","","Stage Three"
"SD-000490","VI intonation - sentence","Active","Speech","P-000099","","Stage Three"
"SD-000491","Visual","Active","Expressive Language","P-000148","","Stage Two"
"SD-000492","Visual","Active","Expressive Language","P-000062","","Stage Two"
"SD-000493","Visual","Active","Matching","P-000078","","Stage One"
"SD-000494","Visual","Inactive","Learning to Learn","P-000114","","Stage One"
"SD-000495","Visual","Active","","P-000067","",""
"SD-000496","Visual","Active","","P-000145","",""
"SD-000497","Visual - 2D","Active","Expressive Language","P-000062","","Stage Two"
"SD-000498","Visual - 3D","Active","Expressive Language","P-000062","","Stage Two"
"SD-000499","Visual and Verbal","Active","School Readiness","P-000058","","Stage Three"
"SD-000500","Visual and Verbal","Inactive","Learning to Learn","P-000114","","Stage One"
"SD-000501","Visual cue","Active","School Readiness","P-000161","","Stage Three"
"SD-000502","Visual exchange","Active","Communication","P-000034","","Stage One"
"SD-000503","Volume","Active","","P-000149","",""
"SD-000504","Volume","Active","Speech","P-000212","","Stage Three"
"SD-000505","Wait w visual","Active","Learning to Learn","P-000217","","Stage One"
"SD-000506","Wait w/o visual","Active","Learning to Learn","P-000217","","Stage Two"
"SD-000507","Walk properly","Active","Community Access","P-000218","","Stage Two"
"SD-000508","Wash hands","Active","Self-Care","P-000220","","Stage One"
"SD-000509","Where did you go?","Active","Language","P-000084","","Stage Three"
"SD-000510","Why","Active","Expressive Language","P-000040","","Stage Three"
"SD-000511","Why don't/because","Active","Language","P-000227","","Stage Three"
"SD-000512","Why not","Active","Abstract Concepts","P-000222","","Stage Three"
"SD-000513","Why/because","Active","Language","P-000096","","Stage Three"
"SD-000514","Why/because","Active","Language","P-000227","","Stage Three"
"SD-000515","With gesture","Active","Receptive Language","P-000154","","Stage Three"
"SD-000516","With visual","Active","Receptive Language","P-000154","","Stage Three"
"SD-000517","Without Items","Active","","P-000141","",""
"SD-000518","Words - VI","Active","Speech","P-000212","","Stage Two"
"SD-000519","Worksheet","Active","School Readiness","P-000231","","Stage Three"
"SD-000520","Write (no visual)","Active","School Readiness","P-000232","","Stage Four"
"SD-000521","Write (with visual)","Active","School Readiness","P-000232","","Stage Three"
"SD-000522","Writing","Active","School Readiness","P-000189","","Stage Four"
"SD-000523","Written Word","Active","Receptive Language","P-000022","","Stage One"
"SD-000524","You be the teacher","Active","Conversation","P-000234","","Stage Three"
"SD-000525","Zones of regulation visual","Active","Self-Care","P-000235","","Stage Three"
