OID,Objective Name,SDID,Status,Program,SD Name
O-001817,11-15 strip,SD-000197,Active,Number Sequencing,Sequence
O-001818,15-20 strip,SD-000197,Active,Number Sequencing,Sequence
O-001819,11-20 strip,SD-000197,Active,Number Sequencing,Sequence
O-001820,1-20 strip,SD-000197,Active,Number Sequencing,Sequence
O-001821,1-5 no strip,SD-000197,Active,Number Sequencing,Sequence
O-001822,6-10 no strip,SD-000197,Active,Number Sequencing,Sequence
O-001823,1-10 no strip,SD-000197,Active,Number Sequencing,Sequence
O-001824,11-15 no strip,SD-000197,Active,Number Sequencing,Sequence
O-001825,15-20 no strip,SD-000197,Active,Number Sequencing,Sequence
O-001826,11-20 no strip,SD-000197,Active,Number Sequencing,Sequence
O-001827,1-20 no strip,SD-000197,Active,Number Sequencing,Sequence
O-001828,1,SD-000200,Active,Numbers,Expressive
O-001829,2,SD-000200,Active,Numbers,Expressive
O-001830,3,SD-000200,Active,Numbers,Expressive
O-001831,4,SD-000200,Active,Numbers,Expressive
O-001832,5,SD-000200,Active,Numbers,Expressive
O-001833,6,SD-000200,Active,Numbers,Expressive
O-001834,7,SD-000200,Active,Numbers,Expressive
O-001835,8,SD-000200,Active,Numbers,Expressive
O-001836,9,SD-000200,Active,Numbers,Expressive
O-001837,10,SD-000200,Active,Numbers,Expressive
O-001838,11,SD-000200,Active,Numbers,Expressive
O-001839,12,SD-000200,Active,Numbers,Expressive
O-001840,13,SD-000200,Active,Numbers,Expressive
O-001841,14,SD-000200,Active,Numbers,Expressive
O-001842,15,SD-000200,Active,Numbers,Expressive
O-001843,16,SD-000200,Active,Numbers,Expressive
O-001844,17,SD-000200,Active,Numbers,Expressive
O-001845,18,SD-000200,Active,Numbers,Expressive
O-001846,19,SD-000200,Active,Numbers,Expressive
O-001847,20,SD-000200,Active,Numbers,Expressive
O-001848,all of,SD-000201,Active,Numeracy,Receptive
O-001849,couple,SD-000201,Active,Numeracy,Receptive
O-001850,few,SD-000201,Active,Numeracy,Receptive
O-001851,most of,SD-000201,Active,Numeracy,Receptive
O-001852,half,SD-000201,Active,Numeracy,Receptive
O-001853,some,SD-000201,Active,Numeracy,Receptive
O-001854,all of...but none...,SD-000201,Active,Numeracy,Receptive
O-001855,none,SD-000201,Active,Numeracy,Receptive
O-001856,(number) of items,SD-000201,Active,Numeracy,Receptive
O-001857,Bang Block,SD-000202,Active,Object Imitation,Planned model w item
O-001858,Drive Car off table,SD-000202,Active,Object Imitation,Planned model w item
O-001859,Stack Blocks,SD-000202,Active,Object Imitation,Planned model w item
O-001860,Swipe Block,SD-000202,Active,Object Imitation,Planned model w item
O-001861,Pour tea,SD-000202,Active,Object Imitation,Planned model w item
O-001862,Flip cup over,SD-000202,Active,Object Imitation,Planned model w item
O-001863,Item in container,SD-000202,Active,Object Imitation,Planned model w item
O-001864,Throw ball,SD-000202,Active,Object Imitation,Planned model w item
O-001865,Roll ball,SD-000202,Active,Object Imitation,Planned model w item
O-001866,Block on plate,SD-000202,Active,Object Imitation,Planned model w item
O-001867,Stir tea,SD-000202,Active,Object Imitation,Planned model w item
O-001868,Various,SD-000202,Active,Object Imitation,Planned model w item
O-001869,F2 Discrimination,SD-000202,Active,Object Imitation,Planned model w item
O-001870,F3 Discrimination,SD-000202,Active,Object Imitation,Planned model w item
O-001871,F4 Discrimination,SD-000203,Active,Object Imitation,Planned model w item at table
O-001872,2 step chain,SD-000203,Active,Object Imitation,Planned model w item at table
O-001873,3 Step Chain,SD-000203,Active,Object Imitation,Planned model w item at table
O-001874,4 step chain,SD-000204,Active,Object Imitation,Planned model w item in play
O-001875,2 step chain,SD-000204,Active,Object Imitation,Planned model w item in play
O-001876,3 Step Chain,SD-000204,Active,Object Imitation,Planned model w item in play
O-001877,5 step chain,SD-000204,Active,Object Imitation,Planned model w item in play
O-001878,Hat,SD-000205,Active,Object to word,Matching
O-001879,Bag,SD-000205,Active,Object to word,Matching
O-001880,Train,SD-000205,Active,Object to word,Matching
O-001881,Ball,SD-000205,Active,Object to word,Matching
O-001882,Cup,SD-000205,Active,Object to word,Matching
O-001883,Pig,SD-000205,Active,Object to word,Matching
O-001884,Shoe,SD-000205,Active,Object to word,Matching
O-001885,Sock,SD-000205,Active,Object to word,Matching
O-001886,Cow,SD-000205,Active,Object to word,Matching
O-001887,Cat,SD-000205,Active,Object to word,Matching
O-001888,Fish,SD-000205,Active,Object to word,Matching
O-001889,Couch,SD-000205,Active,Object to word,Matching
O-001890,Chair,SD-000205,Active,Object to word,Matching
O-001891,Feather,SD-000205,Active,Object to word,Matching
O-001892,Bottle,SD-000205,Active,Object to word,Matching
O-001893,Dog,SD-000205,Active,Object to word,Matching
O-001894,Van,SD-000205,Active,Object to word,Matching
O-001895,Frog,SD-000205,Active,Object to word,Matching
O-001896,Astronaut,SD-000208,Active,Occupations,Exp. function
O-001897,Builder,SD-000208,Active,Occupations,Exp. function
O-001898,Bus Driver,SD-000208,Active,Occupations,Exp. function
O-001899,Chef,SD-000208,Active,Occupations,Exp. function
O-001900,Dentist,SD-000208,Active,Occupations,Exp. function
O-001901,Doctor,SD-000208,Active,Occupations,Exp. function
O-001902,Farmer,SD-000208,Active,Occupations,Exp. function
O-001903,Firefighter,SD-000208,Active,Occupations,Exp. function
O-001904,Gardener,SD-000208,Active,Occupations,Exp. function
O-001905,Hairdresser,SD-000208,Active,Occupations,Exp. function
O-001906,Mechanic,SD-000208,Active,Occupations,Exp. function
O-001907,Nurse,SD-000208,Active,Occupations,Exp. function
O-001908,Painter,SD-000208,Active,Occupations,Exp. function
O-001909,Pilot,SD-000208,Active,Occupations,Exp. function
O-001910,Police Officer,SD-000208,Active,Occupations,Exp. function
O-001911,Postie,SD-000208,Active,Occupations,Exp. function
O-001912,Scientist,SD-000208,Active,Occupations,Exp. function
O-001913,Shopkeeper,SD-000208,Active,Occupations,Exp. function
O-001914,Teacher,SD-000208,Active,Occupations,Exp. function
O-001915,Vet,SD-000208,Active,Occupations,Exp. function
O-001916,Astronaut,SD-000207,Active,Occupations,Expressive
O-001917,Builder,SD-000207,Active,Occupations,Expressive
O-001918,Bus Driver,SD-000207,Active,Occupations,Expressive
O-001919,Chef,SD-000207,Active,Occupations,Expressive
O-001920,Dentist,SD-000207,Active,Occupations,Expressive
O-001921,Doctor,SD-000207,Active,Occupations,Expressive
O-001922,Farmer,SD-000207,Active,Occupations,Expressive
O-001923,Firefighter,SD-000207,Active,Occupations,Expressive
O-001924,Gardener,SD-000207,Active,Occupations,Expressive
O-001925,Hairdresser,SD-000207,Active,Occupations,Expressive
O-001926,Mechanic,SD-000207,Active,Occupations,Expressive
O-001927,Nurse,SD-000207,Active,Occupations,Expressive
O-001928,Painter,SD-000207,Active,Occupations,Expressive
O-001929,Pilot,SD-000207,Active,Occupations,Expressive
O-001930,Police Officer,SD-000207,Active,Occupations,Expressive
O-001931,Postie,SD-000207,Active,Occupations,Expressive
O-001932,Scientist,SD-000207,Active,Occupations,Expressive
O-001933,Shopkeeper,SD-000207,Active,Occupations,Expressive
O-001934,Teacher,SD-000207,Active,Occupations,Expressive
O-001935,Vet,SD-000207,Active,Occupations,Expressive
O-001936,Truck,SD-000205,Active,Object to word,Matching
O-001937,Astronaut,SD-000209,Active,Occupations,Reverse exp. function
O-001938,Builder,SD-000209,Active,Occupations,Reverse exp. function
O-001939,Bus Driver,SD-000209,Active,Occupations,Reverse exp. function
O-001940,Chef,SD-000209,Active,Occupations,Reverse exp. function
O-001941,Dentist,SD-000209,Active,Occupations,Reverse exp. function
O-001942,Doctor,SD-000209,Active,Occupations,Reverse exp. function
O-001943,Farmer,SD-000209,Active,Occupations,Reverse exp. function
O-001944,Firefighter,SD-000209,Active,Occupations,Reverse exp. function
O-001945,Gardener,SD-000209,Active,Occupations,Reverse exp. function
O-001946,Hairdresser,SD-000209,Active,Occupations,Reverse exp. function
O-001947,Mechanic,SD-000209,Active,Occupations,Reverse exp. function
O-001948,Nurse,SD-000209,Active,Occupations,Reverse exp. function
O-001949,Painter,SD-000209,Active,Occupations,Reverse exp. function
O-001950,Pilot,SD-000209,Active,Occupations,Reverse exp. function
O-001951,Police Officer,SD-000209,Active,Occupations,Reverse exp. function
O-001952,Shopkeeper,SD-000209,Active,Occupations,Reverse exp. function
O-001953,Teacher,SD-000209,Active,Occupations,Reverse exp. function
O-001954,Vet,SD-000209,Active,Occupations,Reverse exp. function
O-001955,Postie,SD-000209,Active,Occupations,Reverse exp. function
O-001956,Exposure,SD-000213,Active,Opposites,Exposure
O-001957,Big,SD-000214,Active,Opposites,Identical Receptive
O-001958,Little,SD-000214,Active,Opposites,Identical Receptive
O-001959,Wet,SD-000214,Active,Opposites,Identical Receptive
O-001960,Dry,SD-000214,Active,Opposites,Identical Receptive
O-001961,High,SD-000214,Active,Opposites,Identical Receptive
O-001962,Low,SD-000214,Active,Opposites,Identical Receptive
O-001963,Long,SD-000214,Active,Opposites,Identical Receptive
O-001964,Short,SD-000214,Active,Opposites,Identical Receptive
O-001965,Hot,SD-000214,Active,Opposites,Identical Receptive
O-001966,Cold,SD-000214,Active,Opposites,Identical Receptive
O-001967,In,SD-000214,Active,Opposites,Identical Receptive
O-001968,Out,SD-000214,Active,Opposites,Identical Receptive
O-001969,Dirty,SD-000214,Active,Opposites,Identical Receptive
O-001970,Clean,SD-000214,Active,Opposites,Identical Receptive
O-001971,Heavy,SD-000214,Active,Opposites,Identical Receptive
O-001972,Light,SD-000214,Active,Opposites,Identical Receptive
O-001973,Old,SD-000214,Active,Opposites,Identical Receptive
O-001974,New,SD-000214,Active,Opposites,Identical Receptive
O-001975,Near,SD-000214,Active,Opposites,Identical Receptive
O-001976,Far,SD-000214,Active,Opposites,Identical Receptive
O-001977,Hard,SD-000214,Active,Opposites,Identical Receptive
O-001978,Soft,SD-000214,Active,Opposites,Identical Receptive
O-001979,Full,SD-000214,Active,Opposites,Identical Receptive
O-001980,Empty,SD-000214,Active,Opposites,Identical Receptive
O-001981,Loud,SD-000214,Active,Opposites,Identical Receptive
O-001982,Quiet,SD-000214,Active,Opposites,Identical Receptive
O-001983,Various,SD-000214,Active,Opposites,Identical Receptive
O-001984,Generalised,SD-000214,Active,Opposites,Identical Receptive
O-001985,Big,SD-000215,Active,Opposites,Non-Identical Receptive
O-001986,Little,SD-000215,Active,Opposites,Non-Identical Receptive
O-001987,Wet,SD-000215,Active,Opposites,Non-Identical Receptive
O-001988,Dry,SD-000215,Active,Opposites,Non-Identical Receptive
O-001989,High,SD-000215,Active,Opposites,Non-Identical Receptive
O-001990,Low,SD-000215,Active,Opposites,Non-Identical Receptive
O-001991,Long,SD-000215,Active,Opposites,Non-Identical Receptive
O-001992,Short,SD-000215,Active,Opposites,Non-Identical Receptive
O-001993,Hot,SD-000215,Active,Opposites,Non-Identical Receptive
O-001994,Cold,SD-000215,Active,Opposites,Non-Identical Receptive
O-001995,In,SD-000215,Active,Opposites,Non-Identical Receptive
O-001996,Out,SD-000215,Active,Opposites,Non-Identical Receptive
O-001997,Dirty,SD-000215,Active,Opposites,Non-Identical Receptive
O-001998,Clean,SD-000215,Active,Opposites,Non-Identical Receptive
O-001999,Heavy,SD-000215,Active,Opposites,Non-Identical Receptive
O-002000,Light,SD-000215,Active,Opposites,Non-Identical Receptive
O-002001,Old,SD-000215,Active,Opposites,Non-Identical Receptive
O-002002,New,SD-000215,Active,Opposites,Non-Identical Receptive
O-002003,Near,SD-000215,Active,Opposites,Non-Identical Receptive
O-002004,Far,SD-000215,Active,Opposites,Non-Identical Receptive
O-002005,Hard,SD-000215,Active,Opposites,Non-Identical Receptive
O-002006,Soft,SD-000215,Active,Opposites,Non-Identical Receptive
O-002007,Full,SD-000215,Active,Opposites,Non-Identical Receptive
O-002008,Empty,SD-000215,Active,Opposites,Non-Identical Receptive
O-002009,Loud,SD-000215,Active,Opposites,Non-Identical Receptive
O-002010,Quiet,SD-000215,Active,Opposites,Non-Identical Receptive
O-002011,Various,SD-000215,Active,Opposites,Non-Identical Receptive
O-002012,Generalised,SD-000215,Active,Opposites,Non-Identical Receptive
O-002013,1,SD-000212,Active,One to one counting,How many (items)?
O-002014,2,SD-000212,Active,One to one counting,How many (items)?
O-002015,3,SD-000212,Active,One to one counting,How many (items)?
O-002016,4,SD-000212,Active,One to one counting,How many (items)?
O-002017,5,SD-000212,Active,One to one counting,How many (items)?
O-002018,6,SD-000212,Active,One to one counting,How many (items)?
O-002019,7,SD-000212,Active,One to one counting,How many (items)?
O-002020,8,SD-000212,Active,One to one counting,How many (items)?
O-002021,9,SD-000212,Active,One to one counting,How many (items)?
O-002022,10,SD-000212,Active,One to one counting,How many (items)?
O-002023,Chomp,SD-000218,Active,Oral Motor,Imitation
O-002024,Frown,SD-000218,Active,Oral Motor,Imitation
O-002025,Lick lips,SD-000218,Active,Oral Motor,Imitation
O-002026,Open Mouth,SD-000218,Active,Oral Motor,Imitation
O-002027,Pucker lips,SD-000218,Active,Oral Motor,Imitation
O-002028,Puff Cheeks,SD-000218,Active,Oral Motor,Imitation
O-002029,Raspberries,SD-000218,Active,Oral Motor,Imitation
O-002030,Smile (lips together),SD-000218,Active,Oral Motor,Imitation
O-002031,Tongue Down,SD-000218,Active,Oral Motor,Imitation
O-002032,Tongue In,SD-000218,Active,Oral Motor,Imitation
O-002033,Tongue Out,SD-000218,Active,Oral Motor,Imitation
O-002034,Tongue to left,SD-000218,Active,Oral Motor,Imitation
O-002035,Tongue to right,SD-000218,Active,Oral Motor,Imitation
O-002036,Tongue Up,SD-000218,Active,Oral Motor,Imitation
O-002037,Touch Tongue,SD-000218,Active,Oral Motor,Imitation
O-002038,2 Step ooo eee,SD-000218,Active,Oral Motor,Imitation
O-002039,2 step ahh ooo,SD-000218,Active,Oral Motor,Imitation
O-002040,2 Step ahh eee,SD-000218,Active,Oral Motor,Imitation
O-002041,Various,SD-000218,Active,Oral Motor,Imitation
O-002042,ABAB,SD-000220,Active,Patterns,Sequence
O-002043,ABCABC,SD-000220,Active,Patterns,Sequence
O-002044,Identical items,SD-000220,Active,Patterns,Sequence
O-002045,Colours,SD-000220,Active,Patterns,Sequence
O-002046,F1 (desired item) at table,SD-000221,Active,PECS,Communication opportunity
O-002047,F1 (desired item) 1m from table,SD-000221,Active,PECS,Communication opportunity
O-002048,F1 (desired item) 2m from table,SD-000221,Active,PECS,Communication opportunity
O-002049,F1 (desired item) 3m from table,SD-000221,Active,PECS,Communication opportunity
O-002050,F1 (desired item) across room from table,SD-000221,Active,PECS,Communication opportunity
O-002051,F1 (desired item) from play,SD-000221,Active,PECS,Communication opportunity
O-002052,F1 (desired item) various distance from table,SD-000221,Active,PECS,Communication opportunity
O-002053,F1 (desired item) generalised,SD-000221,Active,PECS,Communication opportunity
O-002054,F2 (desired and blank) at table,SD-000221,Active,PECS,Communication opportunity
O-002055,F2 (desired and blank) 1m from table,SD-000221,Active,PECS,Communication opportunity
O-002056,F2 (desired and blank) 2m from table,SD-000221,Active,PECS,Communication opportunity
O-002057,F2 (desired and blank) 3m from table,SD-000221,Active,PECS,Communication opportunity
O-002058,F2 (desired and blank) across room from table,SD-000221,Active,PECS,Communication opportunity
O-002059,F2 (desired and blank) from play,SD-000221,Active,PECS,Communication opportunity
O-002060,F2 (desired and blank) various distance from table,SD-000221,Active,PECS,Communication opportunity
O-002061,F2 (desired and blank) generalised,SD-000221,Active,PECS,Communication opportunity
O-002062,F2 (desired and neutral) at table,SD-000221,Active,PECS,Communication opportunity
O-002063,F2 (desired and neutral) 1m from table,SD-000221,Active,PECS,Communication opportunity
O-002064,F2 (desired and neutral) 2m from table,SD-000221,Active,PECS,Communication opportunity
O-002065,F2 (desired and neutral) 3m from table,SD-000221,Active,PECS,Communication opportunity
O-002066,F2 (desired and neutral) across room from table,SD-000221,Active,PECS,Communication opportunity
O-002067,F2 (desired and neutral) from play,SD-000221,Active,PECS,Communication opportunity
O-002068,F2 (desired and neutral) various distance from table,SD-000221,Active,PECS,Communication opportunity
O-002069,F2 (desired and neutral) generalised,SD-000221,Active,PECS,Communication opportunity
O-002070,F2 (high vs high) at table,SD-000221,Active,PECS,Communication opportunity
O-002071,F2 (high vs high) 1m from table,SD-000221,Active,PECS,Communication opportunity
O-002072,F2 (high vs high) 2m from table,SD-000221,Active,PECS,Communication opportunity
O-002073,F2 (high vs high) 3m from table,SD-000221,Active,PECS,Communication opportunity
O-002074,F2 (high vs high) across room from table,SD-000221,Active,PECS,Communication opportunity
O-002075,F2 (high vs high) from play,SD-000221,Active,PECS,Communication opportunity
O-002076,F2 (high vs high) various distance from table,SD-000221,Active,PECS,Communication opportunity
O-002077,F2 (high vs high) generalised,SD-000221,Active,PECS,Communication opportunity
O-002078,F3,SD-000221,Active,PECS,Communication opportunity
O-002079,F4,SD-000221,Active,PECS,Communication opportunity
O-002080,Turn page,SD-000221,Active,PECS,Communication opportunity
O-002081,Aunty 1,SD-000222,Active,People,Matching
O-002082,Aunty 2,SD-000222,Active,People,Matching
O-002083,Cousin 1,SD-000222,Active,People,Matching
O-002084,Cousin 2,SD-000222,Active,People,Matching
O-002085,Cousin 3,SD-000222,Active,People,Matching
O-002086,Client,SD-000222,Active,People,Matching
O-002087,Dad,SD-000222,Active,People,Matching
O-002088,Grandfather 1,SD-000222,Active,People,Matching
O-002089,Grandfather 2,SD-000222,Active,People,Matching
O-002090,Grandmother 1,SD-000222,Active,People,Matching
O-002091,Grandmother 2,SD-000222,Active,People,Matching
O-002092,Mum,SD-000222,Active,People,Matching
O-002093,Parent 1,SD-000222,Active,People,Matching
O-002094,Parent 2,SD-000222,Active,People,Matching
O-002095,Sibling 1,SD-000222,Active,People,Matching
O-002096,Sibling 2,SD-000222,Active,People,Matching
O-002097,Sibling 3,SD-000222,Active,People,Matching
O-002098,Teacher 1,SD-000222,Active,People,Matching
O-002099,Teacher 2,SD-000222,Active,People,Matching
O-002100,Various,SD-000222,Active,People,Matching
O-002101,Generalised,SD-000222,Active,People,Matching
O-002102,Aunty 1,SD-000223,Active,People,Receptive
O-002103,Aunty 2,SD-000223,Active,People,Receptive
O-002104,Cousin 1,SD-000223,Active,People,Receptive
O-002105,Cousin 2,SD-000223,Active,People,Receptive
O-002106,Cousin 3,SD-000223,Active,People,Receptive
O-002107,Client,SD-000223,Active,People,Receptive
O-002108,Dad,SD-000223,Active,People,Receptive
O-002109,Grandfather 1,SD-000223,Active,People,Receptive
O-002110,Grandfather 2,SD-000223,Active,People,Receptive
O-002111,Grandmother 1,SD-000223,Active,People,Receptive
O-002112,Grandmother 2,SD-000223,Active,People,Receptive
O-002113,Mum,SD-000223,Active,People,Receptive
O-002114,Parent 1,SD-000223,Active,People,Receptive
O-002115,Parent 2,SD-000223,Active,People,Receptive
O-002116,Sibling 1,SD-000223,Active,People,Receptive
O-002117,Sibling 2,SD-000223,Active,People,Receptive
O-002118,Sibling 3,SD-000223,Active,People,Receptive
O-002119,Teacher 1,SD-000223,Active,People,Receptive
O-002120,Teacher 2,SD-000223,Active,People,Receptive
O-002121,Various,SD-000223,Active,People,Receptive
O-002122,Generalised,SD-000223,Active,People,Receptive
O-002123,a,SD-000225,Active,Phonics,Receptive
O-002124,b,SD-000225,Active,Phonics,Receptive
O-002125,c,SD-000225,Active,Phonics,Receptive
O-002126,d,SD-000225,Active,Phonics,Receptive
O-002127,e,SD-000225,Active,Phonics,Receptive
O-002128,f,SD-000225,Active,Phonics,Receptive
O-002129,g,SD-000225,Active,Phonics,Receptive
O-002130,h,SD-000225,Active,Phonics,Receptive
O-002131,i,SD-000225,Active,Phonics,Receptive
O-002132,j,SD-000225,Active,Phonics,Receptive
O-002133,k,SD-000225,Active,Phonics,Receptive
O-002134,l,SD-000225,Active,Phonics,Receptive
O-002135,m,SD-000225,Active,Phonics,Receptive
O-002136,n,SD-000225,Active,Phonics,Receptive
O-002137,o,SD-000225,Active,Phonics,Receptive
O-002138,p,SD-000225,Active,Phonics,Receptive
O-002139,q,SD-000225,Active,Phonics,Receptive
O-002140,r,SD-000225,Active,Phonics,Receptive
O-002141,s,SD-000225,Active,Phonics,Receptive
O-002142,t,SD-000225,Active,Phonics,Receptive
O-002143,u,SD-000225,Active,Phonics,Receptive
O-002144,v,SD-000225,Active,Phonics,Receptive
O-002145,w,SD-000225,Active,Phonics,Receptive
O-002146,x,SD-000225,Active,Phonics,Receptive
O-002147,y,SD-000225,Active,Phonics,Receptive
O-002148,z,SD-000225,Active,Phonics,Receptive
O-002149,ch,SD-000225,Active,Phonics,Receptive
O-002150,sh,SD-000225,Active,Phonics,Receptive
O-002151,th,SD-000225,Active,Phonics,Receptive
O-002152,ee,SD-000225,Active,Phonics,Receptive
O-002153,oo,SD-000225,Active,Phonics,Receptive
O-002154,ie,SD-000225,Active,Phonics,Receptive
O-002155,oa,SD-000225,Active,Phonics,Receptive
O-002156,or,SD-000225,Active,Phonics,Receptive
O-002157,er,SD-000225,Active,Phonics,Receptive
O-002158,ing,SD-000225,Active,Phonics,Receptive
O-002159,Lego,SD-000227,Active,Play Development,Activity
O-002160,Blocks,SD-000227,Active,Play Development,Activity
O-002161,Cars,SD-000227,Active,Play Development,Activity
O-002162,Trains,SD-000227,Active,Play Development,Activity
O-002163,Books,SD-000227,Active,Play Development,Activity
O-002164,Puzzles,SD-000227,Active,Play Development,Activity
O-002165,Animals,SD-000227,Active,Play Development,Activity
O-002166,Trucks,SD-000227,Active,Play Development,Activity
O-002167,Playdoh,SD-000227,Active,Play Development,Activity
O-002168,Kinetic Sand,SD-000227,Active,Play Development,Activity
O-002169,Drawing,SD-000227,Active,Play Development,Activity
O-002170,Arts and Crafts,SD-000227,Active,Play Development,Activity
O-002171,Ball play,SD-000227,Active,Play Development,Activity
O-002172,Musical Instruments,SD-000227,Active,Play Development,Activity
O-002173,Musical Toys,SD-000227,Active,Play Development,Activity
O-002174,Water play,SD-000227,Active,Play Development,Activity
O-002175,Doll/Teddy Play,SD-000227,Active,Play Development,Activity
O-002176,Kitchen Play,SD-000227,Active,Play Development,Activity
O-002177,Vet play,SD-000227,Active,Play Development,Activity
O-002178,Food Play,SD-000227,Active,Play Development,Activity
O-002179,Tea Party,SD-000227,Active,Play Development,Activity
O-002180,Doctors Play,SD-000227,Active,Play Development,Activity
O-002181,Dress Ups,SD-000227,Active,Play Development,Activity
O-002182,Shop Play,SD-000227,Active,Play Development,Activity
O-002183,Stamps,SD-000227,Active,Play Development,Activity
O-002184,Various,SD-000227,Active,Play Development,Activity
O-002185,Exposure,SD-000227,Active,Play Development,Activity
O-002186,Less preferred 2 seconds,SD-000228,Active,Play Flexibility,Change aspect of play
O-002187,Less preferred 5 seconds,SD-000228,Active,Play Flexibility,Change aspect of play
O-002188,Less preferred 10 seconds,SD-000228,Active,Play Flexibility,Change aspect of play
O-002189,Less preferred 15 seconds,SD-000228,Active,Play Flexibility,Change aspect of play
O-002190,Less preferred 20 seconds,SD-000228,Active,Play Flexibility,Change aspect of play
O-002191,Less preferred 30 seconds,SD-000228,Active,Play Flexibility,Change aspect of play
O-002192,Less preferred 45 seconds,SD-000228,Active,Play Flexibility,Change aspect of play
O-002193,Less preferred 1 minute,SD-000228,Active,Play Flexibility,Change aspect of play
O-002194,Highly preferred 2 seconds,SD-000228,Active,Play Flexibility,Change aspect of play
O-002195,Highly preferred 5 seconds,SD-000228,Active,Play Flexibility,Change aspect of play
O-002196,Highly preferred 10 seconds,SD-000228,Active,Play Flexibility,Change aspect of play
O-002197,Highly preferred 15 seconds,SD-000228,Active,Play Flexibility,Change aspect of play
O-002198,Highly preferred 20 seconds,SD-000228,Active,Play Flexibility,Change aspect of play
O-002199,Highly preferred 30 seconds,SD-000228,Active,Play Flexibility,Change aspect of play
O-002200,Highly preferred 45 seconds,SD-000228,Active,Play Flexibility,Change aspect of play
O-002201,Highly preferred 1 minute,SD-000228,Active,Play Flexibility,Change aspect of play
O-002202,Various times,SD-000228,Active,Play Flexibility,Change aspect of play
O-002203,Change clients choice,SD-000228,Active,Play Flexibility,Change aspect of play
O-002204,Change Th choice,SD-000228,Active,Play Flexibility,Change aspect of play
O-002205,Generalised,SD-000228,Active,Play Flexibility,Change aspect of play
O-002206,Various activities,SD-000228,Active,Play Flexibility,Change aspect of play
O-002207,Blocks,SD-000229,Active,Play Imitation,Planned model with toy
O-002208,Cars,SD-000229,Active,Play Imitation,Planned model with toy
O-002209,Doctor play,SD-000229,Active,Play Imitation,Planned model with toy
O-002210,Doll/Teddy Play,SD-000229,Active,Play Imitation,Planned model with toy
O-002211,Kitchen play,SD-000229,Active,Play Imitation,Planned model with toy
O-002212,Playdoh,SD-000229,Active,Play Imitation,Planned model with toy
O-002213,Sand,SD-000229,Active,Play Imitation,Planned model with toy
O-002214,1 Step Chain,SD-000229,Active,Play Imitation,Planned model with toy
O-002215,2 Step Chain,SD-000228,Active,Play Flexibility,Change aspect of play
O-002216,3 Step Chain,SD-000228,Active,Play Flexibility,Change aspect of play
O-002217,Various,SD-000228,Active,Play Flexibility,Change aspect of play
O-002218,generalised,SD-000228,Active,Play Flexibility,Change aspect of play
O-002219,Generalised,SD-000230,Active,Play language,Exposure
O-002220,Generalised,SD-000231,Active,Play language,Imitation
O-002221,Parallel play,SD-000232,Active,Play with sibling,Engage in activity
O-002222,Associate play,SD-000232,Active,Play with sibling,Engage in activity
O-002223,Cooperative play,SD-000232,Active,Play with sibling,Engage in activity
O-002224,generalised,SD-000232,Active,Play with sibling,Engage in activity
O-002225,Regular generalised,SD-000233,Active,Plurals,Receptive
O-002226,Mice,SD-000233,Active,Plurals,Receptive
O-002227,Sheep,SD-000233,Active,Plurals,Receptive
O-002228,Feet,SD-000233,Active,Plurals,Receptive
O-002229,Teeth,SD-000233,Active,Plurals,Receptive
O-002230,Men,SD-000233,Active,Plurals,Receptive
O-002231,Women,SD-000233,Active,Plurals,Receptive
O-002232,Children,SD-000233,Active,Plurals,Receptive
O-002233,People,SD-000233,Active,Plurals,Receptive
O-002234,Irregular generalised,SD-000233,Active,Plurals,Receptive
O-002235,Regular generalised,SD-000232,Active,Play with sibling,Engage in activity
O-002236,Irregular generalised,SD-000232,Active,Play with sibling,Engage in activity
O-002237,On Top,SD-000235,Active,Prepositions,Receptive
O-002238,Next To,SD-000235,Active,Prepositions,Receptive
O-002239,In Front,SD-000235,Active,Prepositions,Receptive
O-002240,Behind,SD-000235,Active,Prepositions,Receptive
O-002241,Under,SD-000235,Active,Prepositions,Receptive
O-002242,In,SD-000235,Active,Prepositions,Receptive
O-002243,Various,SD-000235,Active,Prepositions,Receptive
O-002244,Generalised,SD-000235,Active,Prepositions,Receptive
O-002245,Bird,SD-000241,Active,Pretend,Pretend to be
O-002246,Car,SD-000241,Active,Pretend,Pretend to be
O-002247,Cat,SD-000241,Active,Pretend,Pretend to be
O-002248,Doctor,SD-000241,Active,Pretend,Pretend to be
O-002249,Dog,SD-000241,Active,Pretend,Pretend to be
O-002250,Drinking,SD-000241,Active,Pretend,Pretend to be
O-002251,Duck,SD-000241,Active,Pretend,Pretend to be
O-002252,Eating,SD-000241,Active,Pretend,Pretend to be
O-002253,Elephant,SD-000241,Active,Pretend,Pretend to be
O-002254,Fire Fighter,SD-000241,Active,Pretend,Pretend to be
O-002255,Frog,SD-000241,Active,Pretend,Pretend to be
O-002256,Lion,SD-000241,Active,Pretend,Pretend to be
O-002257,Plane,SD-000241,Active,Pretend,Pretend to be
O-002258,Sleeping,SD-000241,Active,Pretend,Pretend to be
O-002259,Snake,SD-000241,Active,Pretend,Pretend to be
O-002260,Teacher,SD-000241,Active,Pretend,Pretend to be
O-002261,ball,SD-000243,Active,Prologuo2go Labels,Exp. labels PLQ
O-002262,bubbles,SD-000243,Active,Prologuo2go Labels,Exp. labels PLQ
